Dim_Timestamp_Start,Dim_Timestamp_End,Bright_Timestamp_Start,Bright_Timestamp_End,Target_ID,Target_X_Px,Target_Y_Px,Screen_Width,Screen_Height
1782945875.689455,1782945875.806259,1782945875.814533,1782945877.814543,5,756,491,1512,982
1782945878.331203,1782945878.672861,1782945878.681185,1782945880.681273,6,952,491,1512,982
1782945881.197900,1782945881.689555,1782945881.697907,1782945883.697892,1,560,295,1512,982
1782945884.214541,1782945884.464421,1782945884.472918,1782945886.472888,2,756,295,1512,982
1782945886.989453,1782945887.106220,1782945887.114537,1782945889.114468,9,952,687,1512,982
1782945889.622896,1782945889.914545,1782945889.922937,1782945891.922784,3,952,295,1512,982
1782945892.431104,1782945892.581219,1782945892.589493,1782945894.589540,7,560,687,1512,982
1782945895.106207,1782945897.072833,1782945897.081114,1782945899.081212,8,756,687,1512,982
1782945899.597821,1782945899.989532,1782945899.997832,1782945901.997838,4,560,491,1512,982
